Time,PT41CV,PT44AL,PT15VP,PT69QG,PT43QL,PT17RW,PT87ZW
2021-11-01 00:15:00,0.028,0.452,0.0,0.828,0.128,0.056,0.552
2021-11-01 00:30:00,0.08,0.44,0.0,0.796,0.16,0.056,0.492
2021-11-01 00:45:00,0.092,0.424,0.0,0.832,0.22,0.056,0.308
2021-11-01 01:00:00,0.04,0.408,0.0,0.8,0.404,0.088,0.156
2021-11-01 01:15:00,0.076,0.396,0.0,0.836,0.156,0.116,0.16
2021-11-01 01:30:00,0.124,0.384,0.0,0.8,0.136,0.076,0.244
2021-11-01 01:45:00,0.18,0.368,0.0,0.836,0.104,0.044,0.26
2021-11-01 02:00:00,0.1,0.356,0.0,0.8,0.064,0.036,0.212
2021-11-01 02:15:00,0.128,0.344,0.0,0.84,0.08,0.056,0.156
2021-11-01 02:30:00,0.116,0.336,0.0,0.328,0.092,0.084,0.156
2021-11-01 02:45:00,0.048,0.332,0.0,0.228,0.084,0.052,0.152
2021-11-01 03:00:00,0.044,0.328,0.0,0.192,0.088,0.028,0.16
2021-11-01 03:15:00,0.116,0.324,0.0,0.232,0.1,0.028,0.28
2021-11-01 03:30:00,0.048,0.32,0.0,0.676,0.12,0.028,0.264
2021-11-01 03:45:00,0.028,0.316,0.0,0.84,0.084,0.032,0.172
2021-11-01 04:00:00,0.112,0.312,0.0,0.804,0.1,0.084,0.156
2021-11-01 04:15:00,0.06,0.312,0.0,0.84,0.12,0.388,0.156
2021-11-01 04:30:00,0.028,0.308,0.0,0.8,0.104,1.564,0.156
2021-11-01 04:45:00,0.1,0.308,0.0,0.836,0.092,0.028,0.176
2021-11-01 05:00:00,0.072,0.308,0.0,0.8,0.088,0.024,0.264
2021-11-01 05:15:00,0.04,0.308,0.0,0.836,0.092,0.028,0.256
2021-11-01 05:30:00,0.092,0.308,0.0,0.32,0.092,0.048,0.156
2021-11-01 05:45:00,0.088,0.312,0.0,0.184,0.056,0.08,0.152
2021-11-01 06:00:00,0.028,0.312,0.0,0.156,0.048,0.044,0.156
2021-11-01 06:15:00,0.072,0.316,0.0,0.18,0.08,0.028,0.156
2021-11-01 06:30:00,0.096,0.32,0.0,0.152,0.088,0.024,0.208
2021-11-01 06:45:00,0.028,0.328,0.0,0.184,0.088,0.028,0.316
2021-11-01 07:00:00,0.056,0.336,0.0,0.148,0.072,0.024,0.3
2021-11-01 07:15:00,0.112,0.348,0.0,0.176,0.048,0.06,0.212
2021-11-01 07:30:00,0.036,0.36,0.0,0.14,0.056,0.076,0.208
2021-11-01 07:45:00,0.06,0.376,0.0,0.176,0.096,0.04,0.212
2021-11-01 08:00:00,0.116,0.396,0.0,0.112,0.084,0.024,0.208
2021-11-01 08:15:00,0.044,0.336,0.0,0.152,0.084,0.028,0.244
2021-11-01 08:30:00,0.04,0.356,0.0,0.12,0.064,0.024,0.304
2021-11-01 08:45:00,0.116,0.372,0.0,0.408,0.044,0.028,0.692
2021-11-01 09:00:00,0.06,0.392,0.0,0.232,0.076,0.06,0.2
2021-11-01 09:15:00,0.028,0.384,0.0,0.272,0.088,0.076,0.456
2021-11-01 09:30:00,0.092,0.4,0.0,0.236,0.096,0.036,0.732
2021-11-01 09:45:00,0.072,0.412,0.0,0.628,0.392,0.024,0.932
2021-11-01 10:00:00,0.028,0.42,0.0,0.432,0.912,0.028,0.88
2021-11-01 10:15:00,0.08,0.428,0.0,0.496,2.02,0.024,0.972
2021-11-01 10:30:00,0.088,0.44,0.0,0.808,1.128,0.2,0.98
2021-11-01 10:45:00,0.04,0.484,0.0,0.936,1.3,0.104,0.552
2021-11-01 11:00:00,0.076,0.5,0.0,0.892,0.132,0.064,0.772
2021-11-01 11:15:00,0.104,0.52,0.0,0.936,0.172,0.052,0.668
2021-11-01 11:30:00,0.04,0.536,0.0,0.388,1.64,0.052,0.644
2021-11-01 11:45:00,0.064,0.548,0.0,0.34,1.336,0.052,0.76
2021-11-01 12:00:00,0.116,0.564,0.0,0.416,1.064,0.052,0.648
2021-11-01 12:15:00,0.032,0.572,0.0,0.296,0.644,0.076,1.768
2021-11-01 12:30:00,0.032,0.576,0.0,0.32,0.388,0.1,1.828
2021-11-01 12:45:00,0.116,0.572,0.0,0.348,0.14,0.072,1.476
2021-11-01 13:00:00,0.048,0.556,0.0,0.328,0.152,0.048,0.82
2021-11-01 13:15:00,0.028,0.54,0.0,0.356,1.82,0.044,0.856
2021-11-01 13:30:00,0.108,0.52,0.0,0.324,1.296,0.044,1.248
2021-11-01 13:45:00,0.064,0.5,0.0,0.284,0.552,0.04,1.588
2021-11-01 14:00:00,0.036,0.488,0.0,0.252,1.016,0.052,0.58
2021-11-01 14:15:00,0.108,0.476,0.0,0.216,0.468,0.08,2.296
2021-11-01 14:30:00,0.08,0.468,0.0,0.452,0.148,0.052,0.624
2021-11-01 14:45:00,0.036,0.46,0.0,0.404,0.22,0.028,0.316
2021-11-01 15:00:00,0.092,0.456,0.0,0.32,0.24,0.028,0.392
2021-11-01 15:15:00,0.092,0.452,0.0,0.24,0.256,0.028,0.48
2021-11-01 15:30:00,0.032,0.448,0.0,0.224,0.256,0.028,0.396
2021-11-01 15:45:00,0.06,0.444,0.0,0.224,0.26,0.132,0.34
2021-11-01 16:00:00,0.108,0.44,0.0,0.228,0.252,0.188,0.344
2021-11-01 16:15:00,0.028,0.436,0.0,0.248,0.204,0.912,0.296
2021-11-01 16:30:00,0.048,0.436,0.0,0.288,0.176,1.4,0.76
2021-11-01 16:45:00,0.116,0.44,0.0,0.344,0.176,1.608,0.896
2021-11-01 17:00:00,0.04,0.444,0.0,0.312,0.212,1.072,1.14
2021-11-01 17:15:00,0.048,0.456,0.0,0.384,0.192,0.172,1.808
2021-11-01 17:30:00,0.12,0.472,0.0,0.56,0.18,0.168,2.172
2021-11-01 17:45:00,0.056,0.488,0.0,0.544,0.356,0.124,1.668
2021-11-01 18:00:00,0.036,0.512,0.0,0.484,0.48,0.124,0.788
2021-11-01 18:15:00,0.112,0.496,0.0,0.416,0.476,0.076,2.052
2021-11-01 18:30:00,0.064,0.512,0.0,0.36,0.428,0.58,3.236
2021-11-01 18:45:00,0.028,0.524,0.0,0.38,0.324,3.06,3.4
2021-11-01 19:00:00,0.092,0.536,0.0,0.42,0.108,1.408,4.772
2021-11-01 19:15:00,0.076,0.548,0.0,0.408,0.276,0.056,1.628
2021-11-01 19:30:00,0.028,0.556,0.0,0.496,0.668,0.06,0.508
2021-11-01 19:45:00,0.076,0.56,0.0,0.48,0.284,0.064,0.64
2021-11-01 20:00:00,0.092,0.56,0.0,0.396,0.308,0.116,1.088
2021-11-01 20:15:00,0.036,0.556,0.0,0.436,0.272,0.144,0.728
2021-11-01 20:30:00,0.076,0.552,0.0,0.476,0.256,0.104,0.956
2021-11-01 20:45:00,0.108,0.58,0.0,0.48,0.156,0.152,0.784
2021-11-01 21:00:00,0.036,0.568,0.0,0.4,0.188,0.18,0.972
2021-11-01 21:15:00,0.06,0.556,0.0,0.352,0.276,0.228,1.04
2021-11-01 21:30:00,0.116,0.544,0.0,0.264,0.188,0.212,1.084
2021-11-01 21:45:00,0.04,0.532,0.0,0.232,0.164,0.132,0.892
2021-11-01 22:00:00,0.028,0.516,0.0,0.244,0.164,0.144,0.668
2021-11-01 22:15:00,0.116,0.624,0.0,0.24,0.16,0.148,0.584
2021-11-01 22:30:00,0.052,0.604,0.0,0.268,0.132,0.128,0.896
2021-11-01 22:45:00,0.028,0.584,0.0,0.244,0.144,0.048,0.656
2021-11-01 23:00:00,0.104,0.56,0.0,0.744,0.208,0.032,0.388
2021-11-01 23:15:00,0.068,0.536,0.0,0.844,0.096,0.024,0.4
2021-11-01 23:30:00,0.04,0.512,0.0,0.86,0.096,0.028,0.436
2021-11-01 23:45:00,0.1,0.488,0.0,0.828,0.088,0.064,0.244
2021-11-02 00:00:00,0.084,0.468,0.0,0.84,0.06,0.068,0.424
2021-11-02 00:15:00,0.04,0.444,0.0,0.824,0.044,0.028,0.472
2021-11-02 00:30:00,0.084,0.424,0.0,0.828,0.072,0.024,0.36
2021-11-02 00:45:00,0.096,0.404,0.0,0.82,0.096,0.028,0.432
2021-11-02 01:00:00,0.032,0.384,0.0,0.832,0.088,0.028,0.208
2021-11-02 01:15:00,0.052,0.368,0.0,0.816,0.064,0.072,0.424
2021-11-02 01:30:00,0.112,0.356,0.0,0.824,0.048,0.06,0.3
2021-11-02 01:45:00,0.028,0.344,0.0,0.824,0.072,0.028,0.484
2021-11-02 02:00:00,0.044,0.336,0.0,0.836,0.084,0.024,0.456
2021-11-02 02:15:00,0.112,0.328,0.0,0.82,0.084,0.028,0.328
2021-11-02 02:30:00,0.044,0.32,0.0,0.356,0.088,0.028,0.416
2021-11-02 02:45:00,0.044,0.316,0.0,0.18,0.088,0.064,0.244
2021-11-02 03:00:00,0.116,0.312,0.0,0.168,0.076,0.068,0.428
2021-11-02 03:15:00,0.06,0.308,0.0,0.168,0.048,0.028,0.292
2021-11-02 03:30:00,0.04,0.308,0.0,0.644,0.048,0.028,0.532
2021-11-02 03:45:00,0.104,0.304,0.0,0.776,0.084,0.024,0.416
2021-11-02 04:00:00,0.144,0.304,0.0,0.74,0.088,0.028,0.32
2021-11-02 04:15:00,0.128,0.3,0.0,0.768,0.08,0.056,0.388
2021-11-02 04:30:00,0.128,0.3,0.0,0.736,0.052,0.076,0.272
2021-11-02 04:45:00,0.12,0.3,0.0,0.772,0.084,0.66,0.424
2021-11-02 05:00:00,0.068,0.304,0.0,0.776,0.116,1.216,0.296
2021-11-02 05:15:00,0.032,0.304,0.0,0.76,0.116,0.028,0.528
2021-11-02 05:30:00,0.08,0.308,0.0,0.3,0.092,0.028,0.348
